PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
35943792,The Effectiveness of Serious Games in Improving Memory Among Older Adults With Cognitive Impairment: Systematic Review and Meta-analysis,"Abd-Alrazaq A, Alhuwail D, Al-Jafar E, Ahmed A, Shuweihdi F, Reagu SM, Househ M.",JMIR Serious Games. 2022 Aug 9;10(3):e35202. doi: 10.2196/35202.,Abd-Alrazaq A,JMIR Serious Games,2022,09-08-2022,PMC9399845,,10.2196/35202
35939055,Neuropsychiatric Inventory domains cluster into neuropsychiatric syndromes in Alzheimer's disease: A systematic review and meta-analysis,"Hiu SKW, Bigirumurame T, Kunonga P, Bryant A, Pillai M.",Brain Behav. 2022 Sep;12(9):e2734. doi: 10.1002/brb3.2734. Epub 2022 Aug 8.,Hiu SKW,Brain Behav,2022,08-08-2022,PMC9480932,,10.1002/brb3.2734
35936764,Blood levels of circulating methionine components in Alzheimer's disease and mild cognitive impairment: A systematic review and meta-analysis,"Zhao Y, Dong X, Chen B, Zhang Y, Meng S, Guo F, Guo X, Zhu J, Wang H, Cui H, Li S.",Front Aging Neurosci. 2022 Jul 22;14:934070. doi: 10.3389/fnagi.2022.934070. eCollection 2022.,Zhao Y,Front Aging Neurosci,2022,08-08-2022,PMC9354989,,10.3389/fnagi.2022.934070
35935939,Therapeutic application of quercetin in aging-related diseases: SIRT1 as a potential mechanism,"Cui Z, Zhao X, Amevor FK, Du X, Wang Y, Li D, Shu G, Tian Y, Zhao X.",Front Immunol. 2022 Jul 22;13:943321. doi: 10.3389/fimmu.2022.943321. eCollection 2022.,Cui Z,Front Immunol,2022,08-08-2022,PMC9355713,,10.3389/fimmu.2022.943321
35932158,"Effects of an essential amino acid mixture on behavioral and psychological symptoms of dementia and executive function in patients with Alzheimer's disease: A double-blind, randomized, placebo-controlled exploratory clinical trial","Takada M, Tanaka S, Tanaka K, Tsukie T, Tsukamoto-Yasui M, Suzuki K, Noguchi Y, Imaizumi A, Ishii M, Ikeuchi T.",Int J Geriatr Psychiatry. 2022 Sep;37(9):10.1002/gps.5782. doi: 10.1002/gps.5782.,Takada M,Int J Geriatr Psychiatry,2022,06-08-2022,PMC9544995,,10.1002/gps.5782
35922871,Inflammatory plasma biomarkers in subjects with preclinical Alzheimer's disease,"Prins S, de Kam ML, Teunissen CE, Groeneveld GJ.",Alzheimers Res Ther. 2022 Aug 3;14(1):106. doi: 10.1186/s13195-022-01051-2.,Prins S,Alzheimers Res Ther,2022,03-08-2022,PMC9347121,,10.1186/s13195-022-01051-2
35920161,Association of cognition with leptin and vascular endothelial growth factor in individuals with type 2 diabetes mellitus,"Espeland MA, Evans JK, Carmichael O, Luchsinger JA, Marcovina SM, Neiberg R, Johnson KC, Kahn SE, Hayden KM; Action for Health in Diabetes (Look AHEAD) MIND Ancillary Study Group.",Obesity (Silver Spring). 2022 Sep;30(9):1863-1874. doi: 10.1002/oby.23495. Epub 2022 Aug 3.,Espeland MA,Obesity (Silver Spring),2022,03-08-2022,PMC9420754,NIHMS1808919,10.1002/oby.23495
35910833,Therapeutic Potential of Different Natural Products for the Treatment of Alzheimer's Disease,"Chakraborty B, Mukerjee N, Maitra S, Zehravi M, Mukherjee D, Ghosh A, Massoud EES, Rahman MH.",Oxid Med Cell Longev. 2022 Jul 22;2022:6873874. doi: 10.1155/2022/6873874. eCollection 2022.,Chakraborty B,Oxid Med Cell Longev,2022,01-08-2022,PMC9337964,,10.1155/2022/6873874
35897078,Evaluation of tau deposition using (18)F-PI-2620 PET in MCI and early AD subjects-a MissionAD tau sub-study,"Bullich S, Mueller A, De Santi S, Koglin N, Krause S, Kaplow J, Kanekiyo M, Roé-Vellvé N, Perrotin A, Jovalekic A, Scott D, Gee M, Stephens A, Irizarry M.",Alzheimers Res Ther. 2022 Jul 27;14(1):105. doi: 10.1186/s13195-022-01048-x.,Bullich S,Alzheimers Res Ther,2022,27-07-2022,PMC9327167,,10.1186/s13195-022-01048-x
35892581,The Monkey Head Mushroom and Memory Enhancement in Alzheimer's Disease,"Yanshree, Yu WS, Fung ML, Lee CW, Lim LW, Wong KH.",Cells. 2022 Jul 24;11(15):2284. doi: 10.3390/cells11152284.,Yanshree,Cells,2022,27-07-2022,PMC9331832,,10.3390/cells11152284
35889517,Inosine in Neurodegenerative Diseases: From the Bench to the Bedside,"Basile MS, Bramanti P, Mazzon E.",Molecules. 2022 Jul 21;27(14):4644. doi: 10.3390/molecules27144644.,Basile MS,Molecules,2022,27-07-2022,PMC9316764,,10.3390/molecules27144644
35889273,A Comprehensive Review on the Benefits and Problems of Curcumin with Respect to Human Health,"Liu S, Liu J, He L, Liu L, Cheng B, Zhou F, Cao D, He Y.",Molecules. 2022 Jul 8;27(14):4400. doi: 10.3390/molecules27144400.,Liu S,Molecules,2022,27-07-2022,PMC9319031,,10.3390/molecules27144400
35887166,The Role of Psychobiotics in Supporting the Treatment of Disturbances in the Functioning of the Nervous System-A Systematic Review,"Skowron K, Budzyńska A, Wiktorczyk-Kapischke N, Chomacka K, Grudlewska-Buda K, Wilk M, Wałecka-Zacharska E, Andrzejewska M, Gospodarek-Komkowska E.",Int J Mol Sci. 2022 Jul 15;23(14):7820. doi: 10.3390/ijms23147820.,Skowron K,Int J Mol Sci,2022,27-07-2022,PMC9319704,,10.3390/ijms23147820
35887134,The Potential Role of miRNA-Regulated Autophagy in Alzheimer's Disease,"Zhang H, Liang J, Chen N.",Int J Mol Sci. 2022 Jul 14;23(14):7789. doi: 10.3390/ijms23147789.,Zhang H,Int J Mol Sci,2022,27-07-2022,PMC9317523,,10.3390/ijms23147789
35886867,Bioavailability Improvement Strategies for Icariin and Its Derivates: A Review,"Szabó R, Rácz CP, Dulf FV.",Int J Mol Sci. 2022 Jul 7;23(14):7519. doi: 10.3390/ijms23147519.,Szabó R,Int J Mol Sci,2022,27-07-2022,PMC9318307,,10.3390/ijms23147519
35885018,A Systematic Review and Meta-Analysis of Cerebrospinal Fluid Amyloid and Tau Levels Identifies Mild Cognitive Impairment Patients Progressing to Alzheimer's Disease,"Ma Y, Brettschneider J, Collingwood JF.",Biomedicines. 2022 Jul 15;10(7):1713. doi: 10.3390/biomedicines10071713.,Ma Y,Biomedicines,2022,27-07-2022,PMC9313367,,10.3390/biomedicines10071713
35878744,Current understanding of the interactions between metal ions and Apolipoprotein E in Alzheimer's disease,"Zhang Y, Gao H, Zheng W, Xu H.",Neurobiol Dis. 2022 Oct 1;172:105824. doi: 10.1016/j.nbd.2022.105824. Epub 2022 Jul 22.,Zhang Y,Neurobiol Dis,2022,25-07-2022,,,10.1016/j.nbd.2022.105824
35877166,Effectiveness of Serious Games for Improving Executive Functions Among Older Adults With Cognitive Impairment: Systematic Review and Meta-analysis,"Abd-Alrazaq A, Alhuwail D, Ahmed A, Househ M.",JMIR Serious Games. 2022 Jul 25;10(3):e36123. doi: 10.2196/36123.,Abd-Alrazaq A,JMIR Serious Games,2022,25-07-2022,PMC9361143,,10.2196/36123
35870288,Towards development of disease-modifying therapy for Alzheimer's disease using redox chemical biology pathways,Lipton SA.,Curr Opin Pharmacol. 2022 Oct;66:102267. doi: 10.1016/j.coph.2022.102267. Epub 2022 Jul 20.,Lipton SA,Curr Opin Pharmacol,2022,23-07-2022,PMC9509422,NIHMS1822918,10.1016/j.coph.2022.102267
35869065,The effect of dietary fat consumption on Alzheimer's disease pathogenesis in mouse models,"Amelianchik A, Sweetland-Martin L, Norris EH.",Transl Psychiatry. 2022 Jul 22;12(1):293. doi: 10.1038/s41398-022-02067-w.,Amelianchik A,Transl Psychiatry,2022,22-07-2022,PMC9307654,,10.1038/s41398-022-02067-w
35867135,"Neuroimaging analyses from a randomized, controlled study to evaluate plasma exchange with albumin replacement in mild-to-moderate Alzheimer's disease: additional results from the AMBAR study","Cuberas-Borrós G, Roca I, Castell-Conesa J, Núñez L, Boada M, López OL, Grifols C, Barceló M, Pareto D, Páez A.",Eur J Nucl Med Mol Imaging. 2022 Nov;49(13):4589-4600. doi: 10.1007/s00259-022-05915-5. Epub 2022 Jul 22.,Cuberas-Borrós G,Eur J Nucl Med Mol Imaging,2022,22-07-2022,PMC9606044,,10.1007/s00259-022-05915-5
35861789,Cannabinoids to Improve Health-Related Quality of Life in Patients with Neurological or Oncological Disease: A Meta-Analysis,"Belgers V, Röttgering JG, Douw L, Klein M, Ket JCF, van de Ven PM, Würdinger T, van Linde ME, Niers JM, Weber M, Olde Rikkert MG, Lopez-Sendon J, Arrieta O, Svendsen KB, Chagas MHN, de Almeida CMO, Kouwenhoven MCM, de Witt Hamer PC.",Cannabis Cannabinoid Res. 2023 Feb;8(1):41-55. doi: 10.1089/can.2021.0187. Epub 2022 Jul 21.,Belgers V,Cannabis Cannabinoid Res,2023,21-07-2022,PMC9940814,,10.1089/can.2021.0187
35853750,Association of Self-reflection With Cognition and Brain Health in Cognitively Unimpaired Older Adults,"Demnitz-King H, Gonneaud J, Klimecki OM, Chocat A, Collette F, Dautricourt S, Jessen F, Krolak-Salmon P, Lutz A, Morse RM, Molinuevo JL, Poisnel G, Touron E, Wirth M, Walker Z, Chételat G, Marchant NL; Medit-Ageing Research Group.",Neurology. 2022 Sep 27;99(13):e1422-e1431. doi: 10.1212/WNL.0000000000200951. Epub 2022 Jul 19.,Demnitz-King H,Neurology,2022,19-07-2022,,,10.1212/WNL.0000000000200951
35852256,Cost-effectiveness of mirtazapine for agitated behaviors in dementia: findings from a randomized controlled trial,"Henderson C, Knapp M, Stirling S, Shepstone L, High J, Ballard C, Bentham P, Burns A, Farina N, Fox C, Fountain J, Francis P, Howard R, Leroi I, Livingston G, Nilforooshan R, Nurock S, O'Brien JT, Price A, Swart AM, Tabet N, Telling T, Thomas AJ, Banerjee S.",Int Psychogeriatr. 2022 Oct;34(10):905-917. doi: 10.1017/S1041610222000436. Epub 2022 Jul 19.,Henderson C,Int Psychogeriatr,2022,19-07-2022,,,10.1017/S1041610222000436
35850165,Scoping Review of Randomized Trials With Discontinuation of Medicines in Older Adults,"Kornholt J, Bülow C, Sørensen AMS, Pressel E, Petersen TS, Christensen MB.",J Am Med Dir Assoc. 2022 Dec;23(12):1926.e11-1926.e35. doi: 10.1016/j.jamda.2022.06.010. Epub 2022 Jul 16.,Kornholt J,J Am Med Dir Assoc,2022,19-07-2022,,,10.1016/j.jamda.2022.06.010
35841252,Clinical Trial Endpoints and Their Clinical Meaningfulness in Early Stages of Alzheimer's Disease,"Cohen S, Cummings J, Knox S, Potashman M, Harrison J.",J Prev Alzheimers Dis. 2022;9(3):507-522. doi: 10.14283/jpad.2022.41.,Cohen S,J Prev Alzheimers Dis,2022,16-07-2022,PMC9843702,NIHMS1861287,10.14283/jpad.2022.41
35833913,Antithrombotic therapy to prevent cognitive decline in people with small vessel disease on neuroimaging but without dementia,"Kwan J, Hafdi M, Chiang LLW, Myint PK, Wong LS, Quinn TJ.",Cochrane Database Syst Rev. 2022 Jul 14;7(7):CD012269. doi: 10.1002/14651858.CD012269.pub2.,Kwan J,Cochrane Database Syst Rev,2022,14-07-2022,PMC9281623,,10.1002/14651858.CD012269.pub2
35817542,Targeting Angiogenesis via Resolution of Inflammation,"Kelly AG, Panigrahy D.",Cold Spring Harb Perspect Med. 2023 Mar 1;13(3):a041172. doi: 10.1101/cshperspect.a041172.,Kelly AG,Cold Spring Harb Perspect Med,2023,11-07-2022,PMC9979849,,10.1101/cshperspect.a041172
35815777,The design and conduct of a pragmatic cluster randomized trial of an advance care planning program for nursing home residents with dementia,"Hickman SE, Mitchell SL, Hanson LC, Tu W, Stump TE, Unroe KT.",Clin Trials. 2022 Dec;19(6):623-635. doi: 10.1177/17407745221108992. Epub 2022 Jul 10.,Hickman SE,Clin Trials,2022,11-07-2022,PMC9691516,NIHMS1815034,10.1177/17407745221108992
35811518,Precision Medicine Approach to Alzheimer's Disease: Successful Pilot Project,"Toups K, Hathaway A, Gordon D, Chung H, Raji C, Boyd A, Hill BD, Hausman-Cohen S, Attarha M, Chwa WJ, Jarrett M, Bredesen DE.",J Alzheimers Dis. 2022;88(4):1411-1421. doi: 10.3233/JAD-215707.,Toups K,J Alzheimers Dis,2022,11-07-2022,PMC9484109,,10.3233/JAD-215707
35807418,Role of Natural Compounds and Target Enzymes in the Treatment of Alzheimer's Disease,"Wang S, Kong X, Chen Z, Wang G, Zhang J, Wang J.",Molecules. 2022 Jun 29;27(13):4175. doi: 10.3390/molecules27134175.,Wang S,Molecules,2022,09-07-2022,PMC9268689,,10.3390/molecules27134175
35805955,Therapeutic Potential of Allicin and Aged Garlic Extract in Alzheimer's Disease,"Tedeschi P, Nigro M, Travagli A, Catani M, Cavazzini A, Merighi S, Gessi S.",Int J Mol Sci. 2022 Jun 22;23(13):6950. doi: 10.3390/ijms23136950.,Tedeschi P,Int J Mol Sci,2022,09-07-2022,PMC9266652,,10.3390/ijms23136950
35805109,GLP-1 Receptor Agonists in Neurodegeneration: Neurovascular Unit in the Spotlight,"Monti G, Gomes Moreira D, Richner M, Mutsaers HAM, Ferreira N, Jan A.",Cells. 2022 Jun 25;11(13):2023. doi: 10.3390/cells11132023.,Monti G,Cells,2022,09-07-2022,PMC9265397,,10.3390/cells11132023
35802628,Dementia risk and dynamic response to exercise: A non-randomized clinical trial,"Vidoni ED, Morris JK, Palmer JA, Li Y, White D, Kueck PJ, John CS, Honea RA, Lepping RJ, Lee P, Mahnken JD, Martin LE, Billinger SA.",PLoS One. 2022 Jul 8;17(7):e0265860. doi: 10.1371/journal.pone.0265860. eCollection 2022.,Vidoni ED,PLoS One,2022,08-07-2022,PMC9269742,,10.1371/journal.pone.0265860
35801957,Demographic and clinical profile of residents living with dementia and depressive symptoms in Australian private residential aged care: Data from the Music Interventions for Dementia and Depression in ELderly care (MIDDEL) cluster-randomised controlled trial,"Lee YC, Sousa TV, Stretton-Smith PA, Gold C, Geretsegger M, Baker FA.",Australas J Ageing. 2022 Dec;41(4):e387-e396. doi: 10.1111/ajag.13104. Epub 2022 Jul 8.,Lee YC,Australas J Ageing,2022,08-07-2022,PMC10084363,,10.1111/ajag.13104
35797268,The effect of framing on attitudes towards Alzheimer's disease. A comparative study between younger and older adults,"Cuadrado F, Antolí A, Fernández-Calvo B.",PLoS One. 2022 Jul 7;17(7):e0270959. doi: 10.1371/journal.pone.0270959. eCollection 2022.,Cuadrado F,PLoS One,2022,07-07-2022,PMC9262181,,10.1371/journal.pone.0270959
35796264,Potential of Transcranial Direct Current Stimulation in Alzheimer's Disease: Optimizing Trials Toward Clinical Use,"Pilloni G, Charvet LE, Bikson M, Palekar N, Kim MJ.",J Clin Neurol. 2022 Jul;18(4):391-400. doi: 10.3988/jcn.2022.18.4.391.,Pilloni G,J Clin Neurol,2022,07-07-2022,PMC9262447,,10.3988/jcn.2022.18.4.391
35795585,Fruit and Vegetable Consumption and Cognitive Disorders in Older Adults: A Meta-Analysis of Observational Studies,"Zhou Y, Wang J, Cao L, Shi M, Liu H, Zhao Y, Xia Y.",Front Nutr. 2022 Jun 20;9:871061. doi: 10.3389/fnut.2022.871061. eCollection 2022.,Zhou Y,Front Nutr,2022,07-07-2022,PMC9251442,,10.3389/fnut.2022.871061
35794767,"Bipolar Disorder and Manic-Like Symptoms in Alzheimer's, Vascular and Frontotemporal Dementia: A Systematic Review","Elefante C, Brancati GE, Torrigiani S, Amadori S, Ricciardulli S, Pistolesi G, Lattanzi L, Perugi G.",Curr Neuropharmacol. 2023;21(12):2516-2542. doi: 10.2174/1570159X20666220706110157.,Elefante C,Curr Neuropharmacol,2023,07-07-2022,PMC10616925,,10.2174/1570159X20666220706110157
35791724,Toward rational use of cognitive training in those with mild cognitive impairment,"Hampstead BM, Stringer AY, Iordan AD, Ploutz-Snyder R, Sathian K.",Alzheimers Dement. 2023 Mar;19(3):933-945. doi: 10.1002/alz.12718. Epub 2022 Jul 6.,Hampstead BM,Alzheimers Dement,2023,06-07-2022,PMC9816345,NIHMS1850612,10.1002/alz.12718
35782450,Effect of Physical Exercise on Cognitive Function of Alzheimer's Disease Patients: A Systematic Review and Meta-Analysis of Randomized Controlled Trial,"Liu W, Zhang J, Wang Y, Li J, Chang J, Jia Q.",Front Psychiatry. 2022 Jun 16;13:927128. doi: 10.3389/fpsyt.2022.927128. eCollection 2022.,Liu W,Front Psychiatry,2022,05-07-2022,PMC9243422,,10.3389/fpsyt.2022.927128
35779628,(R)-ketamine as prophylactic and therapeutic drug for neurological disorders: Beyond depression,"Wang X, Yang J, Hashimoto K.",Neurosci Biobehav Rev. 2022 Aug;139:104762. doi: 10.1016/j.neubiorev.2022.104762. Epub 2022 Jun 30.,Wang X,Neurosci Biobehav Rev,2022,02-07-2022,,,10.1016/j.neubiorev.2022.104762
35774605,Molecular Pathways and Roles for Vitamin K2-7 as a Health-Beneficial Nutraceutical: Challenges and Opportunities,"Jadhav N, Ajgaonkar S, Saha P, Gurav P, Pandey A, Basudkar V, Gada Y, Panda S, Jadhav S, Mehta D, Nair S.",Front Pharmacol. 2022 Jun 14;13:896920. doi: 10.3389/fphar.2022.896920. eCollection 2022.,Jadhav N,Front Pharmacol,2022,01-07-2022,PMC9237441,,10.3389/fphar.2022.896920
35771887,Actovegin in the management of patients after ischemic stroke: A systematic review,"la Fleur P, Baizhaxynova A, Reynen E, Kaunelis D, Galiyeva D.",PLoS One. 2022 Jun 30;17(6):e0270497. doi: 10.1371/journal.pone.0270497. eCollection 2022.,la Fleur P,PLoS One,2022,30-06-2022,PMC9246213,,10.1371/journal.pone.0270497
35760047,Progestogen-Mediated Neuroprotection in Central Nervous System Disorders,"Bassani TB, Bartolomeo CS, Oliveira RB, Ureshino RP.",Neuroendocrinology. 2023;113(1):14-35. doi: 10.1159/000525677. Epub 2022 Jun 27.,Bassani TB,Neuroendocrinology,2023,27-06-2022,,,10.1159/000525677
35758526,Hypertension and Alzheimer's disease pathology at autopsy: A systematic review,"Abdulrahman H, van Dalen JW, den Brok M, Latimer CS, Larson EB, Richard E.",Alzheimers Dement. 2022 Nov;18(11):2308-2326. doi: 10.1002/alz.12707. Epub 2022 Jun 27.,Abdulrahman H,Alzheimers Dement,2022,27-06-2022,PMC9796086,,10.1002/alz.12707
35750991,Can the administration of platelet lysates to the brain help treat neurological disorders?,"Nebie O, Buée L, Blum D, Burnouf T.",Cell Mol Life Sci. 2022 Jun 24;79(7):379. doi: 10.1007/s00018-022-04397-w.,Nebie O,Cell Mol Life Sci,2022,24-06-2022,PMC9243829,,10.1007/s00018-022-04397-w
35746960,"Current Progress on Neuroprotection Induced by Artemisia, Ginseng, Astragalus, and Ginkgo Traditional Chinese Medicines for the Therapy of Alzheimer's Disease","Li Q, Rubin L, Silva M, Li S, Yang C, Lazarovici P, Zheng W.",Oxid Med Cell Longev. 2022 Jun 14;2022:3777021. doi: 10.1155/2022/3777021. eCollection 2022.,Li Q,Oxid Med Cell Longev,2022,24-06-2022,PMC9213169,,10.1155/2022/3777021
35745002,Curcumin Scaffold as a Multifunctional Tool for Alzheimer's Disease Research,"Yang H, Zeng F, Luo Y, Zheng C, Ran C, Yang J.",Molecules. 2022 Jun 17;27(12):3879. doi: 10.3390/molecules27123879.,Yang H,Molecules,2022,24-06-2022,PMC9227459,,10.3390/molecules27123879
35744865,Neuroprotective Effect of Caffeine in Alzheimer's Disease,"M Yelanchezian YM, Waldvogel HJ, Faull RLM, Kwakowsky A.",Molecules. 2022 Jun 10;27(12):3737. doi: 10.3390/molecules27123737.,M Yelanchezian YM,Molecules,2022,24-06-2022,PMC9227174,,10.3390/molecules27123737
35744831,Expatiating the Pharmacological and Nanotechnological Aspects of the Alkaloidal Drug Berberine: Current and Future Trends,"Behl T, Singh S, Sharma N, Zahoor I, Albarrati A, Albratty M, Meraya AM, Najmi A, Bungau S.",Molecules. 2022 Jun 9;27(12):3705. doi: 10.3390/molecules27123705.,Behl T,Molecules,2022,24-06-2022,PMC9229453,,10.3390/molecules27123705
35743035,Molecular Hydrogen Neuroprotection in Post-Ischemic Neurodegeneration in the Form of Alzheimer's Disease Proteinopathy: Underlying Mechanisms and Potential for Clinical Implementation-Fantasy or Reality?,"Pluta R, Januszewski S, Czuczwar SJ.",Int J Mol Sci. 2022 Jun 13;23(12):6591. doi: 10.3390/ijms23126591.,Pluta R,Int J Mol Sci,2022,24-06-2022,PMC9224395,,10.3390/ijms23126591
35742220,The Effectiveness of Multi-Component Interventions on the Positive and Negative Aspects of Well-Being among Informal Caregivers of People with Dementia: A Systematic Review and Meta-Analysis,"He J, Wang J, Zhong H, Guan C.",Int J Environ Res Public Health. 2022 Jun 7;19(12):6973. doi: 10.3390/ijerph19126973.,He J,Int J Environ Res Public Health,2022,24-06-2022,PMC9222573,,10.3390/ijerph19126973
35736165,"Biological Potential, Gastrointestinal Digestion, Absorption, and Bioavailability of Algae-Derived Compounds with Neuroprotective Activity: A Comprehensive Review","Martins B, Vieira M, Delerue-Matos C, Grosso C, Soares C.",Mar Drugs. 2022 May 28;20(6):362. doi: 10.3390/md20060362.,Martins B,Mar Drugs,2022,23-06-2022,PMC9227170,,10.3390/md20060362
35734582,Non-invasive brain stimulation and neuroenhancement,"Antal A, Luber B, Brem AK, Bikson M, Brunoni AR, Cohen Kadosh R, Dubljević V, Fecteau S, Ferreri F, Flöel A, Hallett M, Hamilton RH, Herrmann CS, Lavidor M, Loo C, Lustenberger C, Machado S, Miniussi C, Moliadze V, Nitsche MA, Rossi S, Rossini PM, Santarnecchi E, Seeck M, Thut G, Turi Z, Ugawa Y, Venkatasubramanian G, Wenderoth N, Wexler A, Ziemann U, Paulus W.",Clin Neurophysiol Pract. 2022 May 25;7:146-165. doi: 10.1016/j.cnp.2022.05.002. eCollection 2022.,Antal A,Clin Neurophysiol Pract,2022,23-06-2022,PMC9207555,,10.1016/j.cnp.2022.05.002
35730441,An Updated Review on The Properties of Melissa officinalis L.: Not Exclusively Anti-anxiety,"Zam W, Quispe C, Sharifi-Rad J, López MD, Schoebitz M, Martorell M, Sharopov F, Fokou PVT, Mishra AP, Chandran D, Kumar M, Chen JT, Pezzani R.",Front Biosci (Schol Ed). 2022 Jun 7;14(2):16. doi: 10.31083/j.fbs1402016.,Zam W,Front Biosci (Schol Ed),2022,22-06-2022,,,10.31083/j.fbs1402016
35718870,The Ketogenic Diet and Alzheimer's Disease,"Hersant H, Grossberg G.",J Nutr Health Aging. 2022;26(6):606-614. doi: 10.1007/s12603-022-1807-7.,Hersant H,J Nutr Health Aging,2022,19-06-2022,,,10.1007/s12603-022-1807-7
35716694,Potential disease-modifying therapies for Huntington's disease: lessons learned and future opportunities,"Tabrizi SJ, Estevez-Fraga C, van Roon-Mom WMC, Flower MD, Scahill RI, Wild EJ, Muñoz-Sanjuan I, Sampaio C, Rosser AE, Leavitt BR.",Lancet Neurol. 2022 Jul;21(7):645-658. doi: 10.1016/S1474-4422(22)00121-1.,Tabrizi SJ,Lancet Neurol,2022,18-06-2022,PMC7613206,EMS146360,10.1016/S1474-4422(22)00121-1
35713714,"Promising application of polyoxometalates in the treatment of cancer, infectious diseases and Alzheimer's disease","Wang X, Wei S, Zhao C, Li X, Jin J, Shi X, Su Z, Li J, Wang J.",J Biol Inorg Chem. 2022 Aug;27(4-5):405-419. doi: 10.1007/s00775-022-01942-7. Epub 2022 Jun 17.,Wang X,J Biol Inorg Chem,2022,17-06-2022,PMC9203773,,10.1007/s00775-022-01942-7
35701227,Combined physical exercise-working memory training on slowing down cognitive decline in elders with mild clinical Alzheimer disease: a randomised controlled study (abridged secondary publication),"Lam LCW, Chan WC, Kwok TCY, Lee JSW, Yu BML, Lee S, Lee ATC, Ma SL, Cheng ST.",Hong Kong Med J. 2022 Jun;28 Suppl 3(3):28-30.,Lam LCW,Hong Kong Med J,2022,14-06-2022,,,
35700915,Effect of cerebellum stimulation on cognitive recovery in patients with Alzheimer disease: A randomized clinical trial,"Yao Q, Tang F, Wang Y, Yan Y, Dong L, Wang T, Zhu D, Tian M, Lin X, Shi J.",Brain Stimul. 2022 Jul-Aug;15(4):910-920. doi: 10.1016/j.brs.2022.06.004. Epub 2022 Jun 11.,Yao Q,Brain Stimul,2022,14-06-2022,,,10.1016/j.brs.2022.06.004
35698099,Communication Bridge™-2 (CB2): an NIH Stage 2 randomized control trial of a speech-language intervention for communication impairments in individuals with mild to moderate primary progressive aphasia,"Roberts AC, Rademaker AW, Salley EA, Mooney A, Morhardt D, Fried-Oken M, Weintraub S, Mesulam M, Rogalski E.",Trials. 2022 Jun 13;23(1):487. doi: 10.1186/s13063-022-06162-7.,Roberts AC,Trials,2022,13-06-2022,PMC9190461,,10.1186/s13063-022-06162-7
35696185,Safety and Efficacy of Semorinemab in Individuals With Prodromal to Mild Alzheimer Disease: A Randomized Clinical Trial,"Teng E, Manser PT, Pickthorn K, Brunstein F, Blendstrup M, Sanabria Bohorquez S, Wildsmith KR, Toth B, Dolton M, Ramakrishnan V, Bobbala A, Sikkes SAM, Ward M, Fuji RN, Kerchner GA; Tauriel Investigators.",JAMA Neurol. 2022 Aug 1;79(8):758-767. doi: 10.1001/jamaneurol.2022.1375.,Teng E,JAMA Neurol,2022,13-06-2022,PMC9194753,,10.1001/jamaneurol.2022.1375
35694839,The influence of the macular carotenoids on women's eye and brain health,"Hammond BR, Renzi-Hammond L.",Nutr Neurosci. 2023 Aug;26(8):720-726. doi: 10.1080/1028415X.2022.2084125. Epub 2022 Jun 11.,Hammond BR,Nutr Neurosci,2023,13-06-2022,,,10.1080/1028415X.2022.2084125
35684573,The Fight against Infection and Pain: Devil's Claw (Harpagophytum procumbens) a Rich Source of Anti-Inflammatory Activity: 2011-2022,"Gxaba N, Manganyi MC.",Molecules. 2022 Jun 6;27(11):3637. doi: 10.3390/molecules27113637.,Gxaba N,Molecules,2022,10-06-2022,PMC9182060,,10.3390/molecules27113637
35684340,The Role of Microbiome in Brain Development and Neurodegenerative Diseases,"Nandwana V, Nandwana NK, Das Y, Saito M, Panda T, Das S, Almaguel F, Hosmane NS, Das BC.",Molecules. 2022 May 25;27(11):3402. doi: 10.3390/molecules27113402.,Nandwana V,Molecules,2022,10-06-2022,PMC9182002,,10.3390/molecules27113402
35682615,"An Overview of Oxidative Stress, Neuroinflammation, and Neurodegenerative Diseases","Teleanu DM, Niculescu AG, Lungu II, Radu CI, Vladâcenco O, Roza E, Costăchescu B, Grumezescu AM, Teleanu RI.",Int J Mol Sci. 2022 May 25;23(11):5938. doi: 10.3390/ijms23115938.,Teleanu DM,Int J Mol Sci,2022,10-06-2022,PMC9180653,,10.3390/ijms23115938
35681426,Alpha-Synuclein Aggregation Pathway in Parkinson's Disease: Current Status and Novel Therapeutic Approaches,"Vidović M, Rikalovic MG.",Cells. 2022 May 24;11(11):1732. doi: 10.3390/cells11111732.,Vidović M,Cells,2022,10-06-2022,PMC9179656,,10.3390/cells11111732
35678747,Dissemination of a successful dementia care program: Lessons to facilitate spread of innovations,"Reuben DB, Evertson LC, Jackson-Stoeckle R, Epstein-Lubow G, Spragens LH, Haggerty KL, Serrano KS, Jennings LA.",J Am Geriatr Soc. 2022 Sep;70(9):2686-2694. doi: 10.1111/jgs.17900. Epub 2022 Jun 9.,Reuben DB,J Am Geriatr Soc,2022,09-06-2022,PMC9489616,NIHMS1808987,10.1111/jgs.17900
35672765,Nanomaterials alleviating redox stress in neurological diseases: mechanisms and applications,"Jiang Y, Kang Y, Liu J, Yin S, Huang Z, Shao L.",J Nanobiotechnology. 2022 Jun 7;20(1):265. doi: 10.1186/s12951-022-01434-5.,Jiang Y,J Nanobiotechnology,2022,07-06-2022,PMC9171999,,10.1186/s12951-022-01434-5
